Facility Name,Facility ID,Address,City,State,ZIP Code,County Name,Phone Number,Hospital Type,Hospital Ownership,Emergency Services,Hospital overall rating,Meets criteria for meaningful use of EHRs,Mortality national comparison,Safety of care national comparison,Readmission national comparison,Patient experience national comparison,Effectiveness of care national comparison,Timeliness of care national comparison
Texas Health Center,TX00116,1447 First Blvd,Arlington,TX,90595,Arlington County,(374) 671-7866,Rehabilitation Hospital,Voluntary non-profit - Other,Yes,4,Yes,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average
Texas General Hospital,TX00117,675 Main Way,Houston,TX,41941,Houston County,(853) 561-6927,Acute Care Hospital,Government - State,No,4,No,Above the national average,Above the national average,Below the national average,Above the national average,Same as the national average,Below the national average
Plano Health Center,TX00118,4253 Church Ave,Plano,TX,81425,Plano County,(935) 622-3732,Acute Care Hospital,Government - Federal,Yes,3,Yes,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Same as the national average
Texas Regional Hospital,TX00119,6734 Oak St,Plano,TX,11288,Plano County,(534) 824-4462,Long-Term Care Hospital,Voluntary non-profit - Other,Yes,3,Yes,Below the national average,Below the national average,Below the national average,Above the national average,Above the national average,Above the national average
St. Margaret Healthcare,TX00120,4512 Washington Ave,Fort Worth,TX,68227,Fort Worth County,(282) 544-9931,Psychiatric Hospital,Voluntary non-profit - Church,Yes,3,No,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average
General Sarah City Hospital,TX00121,442 Lincoln Dr,Corpus Christi,TX,86919,Corpus Christi County,(372) 464-2464,Psychiatric Hospital,Government - Federal,Yes,2,Yes,Same as the national average,Above the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average
Texas County Hospital,TX00122,2801 Lincoln Way,Dallas,TX,23473,Dallas County,(994) 498-5646,Rehabilitation Hospital,Voluntary non-profit - Other,Yes,3,No,Same as the national average,Above the national average,Above the national average,Above the national average,Above the national average,Below the national average
San Antonio City Hospital,TX00123,1322 Medical Way,San Antonio,TX,76384,San Antonio County,(591) 945-1955,Long-Term Care Hospital,Voluntary non-profit - Other,Yes,3,Yes,Same as the national average,Below the national average,Above the national average,Above the national average,Same as the national average,Same as the national average
Houston Veterans Hospital,TX00124,3168 Broadway Ave,Houston,TX,71124,Houston County,(982) 450-9913,Acute Care Hospital,Voluntary non-profit - Other,Yes,3,Yes,Above the national average,Below the national average,Below the national average,Below the national average,Above the national average,Below the national average
Memorial Jose Regional Medical Center,TX00125,4511 Main Dr,Arlington,TX,81235,Arlington County,(612) 654-8402,Rehabilitation Hospital,Government - State,Yes,1,Yes,Above the national average,Same as the national average,Below the national average,Below the national average,Below the national average,Above the national average
St. Larry Regional Medical Center,TX00126,6667 Third Way,Dallas,TX,21057,Dallas County,(918) 515-2361,Critical Access Hospital,Government - State,Yes,Not Available,Yes,Above the national average,Same as the national average,Below the national average,Below the national average,Below the national average,Below the national average
El Paso Veterans Hospital,TX00127,2760 Center Dr,El Paso,TX,62108,El Paso County,(802) 797-9348,Critical Access Hospital,Government - Local,Yes,1,Yes,Below the national average,Same as the national average,Above the national average,Below the national average,Above the national average,Above the national average
Dallas City Hospital,TX00128,3267 Church Dr,Dallas,TX,75671,Dallas County,(614) 672-3418,Children's Hospital,Government - Local,Yes,3,Yes,Below the national average,Above the national average,Above the national average,Above the national average,Below the national average,Below the national average
Texas Regional Medical Center,TX00129,5214 University Ave,El Paso,TX,22796,El Paso County,(506) 824-1476,Children's Hospital,Proprietary,Yes,3,Yes,Below the national average,Above the national average,Same as the national average,Above the national average,Below the national average,Same as the national average
Arlington University Hospital,TX00130,2984 Market Blvd,Arlington,TX,52883,Arlington County,(761) 736-1882,Children's Hospital,Proprietary,Yes,Not Available,Yes,Below the national average,Above the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average
Mount Thomas Memorial Hospital,TX00131,9809 Medical Ave,Fort Worth,TX,94421,Fort Worth County,(686) 246-4411,Children's Hospital,Voluntary non-profit - Other,Yes,4,No,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average
St. Susan General Hospital,TX00132,377 Third Ave,Arlington,TX,92178,Arlington County,(242) 750-8384,Acute Care Hospital,Voluntary non-profit - Other,No,1,No,Same as the national average,Below the national average,Above the national average,Same as the national average,Below the national average,Above the national average
Dallas Clinic,TX00133,1383 Second Way,Dallas,TX,60391,Dallas County,(996) 651-9859,Long-Term Care Hospital,Government - State,Yes,2,Yes,Same as the national average,Above the national average,Same as the national average,Below the national average,Below the national average,Below the national average
Mount Paul Clinic,TX00134,8532 University Dr,Austin,TX,64451,Austin County,(273) 532-2160,Critical Access Hospital,Government - Federal,Yes,3,Yes,Below the national average,Above the national average,Above the national average,Same as the national average,Below the national average,Below the national average
Texas Healthcare,TX00135,8648 Second Blvd,Houston,TX,74391,Houston County,(323) 896-6927,Acute Care Hospital,Government - Federal,No,4,Yes,Below the national average,Same as the national average,Below the national average,Above the national average,Below the national average,Above the national average
Mount Kevin City Hospital,TX00136,7405 Third Way,Corpus Christi,TX,59645,Corpus Christi County,(767) 563-3316,Children's Hospital,Voluntary non-profit - Other,Yes,3,Yes,Same as the national average,Above the national average,Above the national average,Below the national average,Above the national average,Same as the national average
Texas City Hospital,TX00137,350 Second Dr,El Paso,TX,61056,El Paso County,(387) 873-8290,Psychiatric Hospital,Proprietary,Yes,3,Yes,Below the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Above the national average
Dallas Medical Center,TX00138,2643 Washington St,Dallas,TX,93765,Dallas County,(387) 311-6003,Acute Care Hospital,Government - Federal,No,4,Yes,Above the national average,Above the national average,Below the national average,Below the national average,Above the national average,Same as the national average
Texas Medical Center,TX00139,5763 Hospital St,Lubbock,TX,89613,Lubbock County,(707) 552-6802,Acute Care Hospital,Voluntary non-profit - Private,Yes,4,Yes,Above the national average,Above the national average,Above the national average,Same as the national average,Below the national average,Above the national average
